Date,Across - Price ($)
2022-11-21,0.051265
2022-11-28,0.041637571428571434
2022-12-05,0.052021857142857154
2022-12-12,0.05383328571428571
2022-12-19,0.044516571428571426
2022-12-26,0.04374
2023-01-02,0.04262885714285714
2023-01-09,0.04440371428571429
2023-01-16,0.047853285714285716
2023-01-23,0.04679871428571429
2023-01-30,0.05468385714285714
2023-02-06,0.060559571428571435
2023-02-13,0.06183828571428572
2023-02-20,0.06781514285714285
2023-02-27,0.07324557142857144
2023-03-06,0.06200928571428572
2023-03-13,0.06946128571428571
2023-03-20,0.07200557142857142
2023-03-27,0.06844542857142857
2023-04-03,0.06710999999999999
2023-04-10,0.062020142857142864
2023-04-17,0.05418157142857143
2023-04-24,0.053003857142857144
2023-05-01,0.05238457142857143
2023-05-08,0.04639357142857142
2023-05-15,0.04389485714285714
2023-05-22,0.042478999999999996
2023-05-29,0.040442571428571425
2023-06-05,0.04564942857142857
2023-06-12,0.044178857142857145
2023-06-19,0.04483842857142857
2023-06-26,0.04775185714285714
2023-07-03,0.046534
2023-07-10,0.048440285714285714
2023-07-17,0.045729285714285715
2023-07-24,0.050775999999999995
2023-07-31,0.062145571428571425
2023-08-07,0.06335985714285713
2023-08-14,0.057429571428571434
2023-08-21,0.049696428571428565
2023-08-28,0.055666142857142865
2023-09-04,0.05406428571428571
2023-09-11,0.05059528571428572
2023-09-18,0.05199828571428571
2023-09-25,0.05397242857142857
2023-10-02,0.05325328571428572
2023-10-09,0.04785685714285714
2023-10-16,0.046505000000000005
2023-10-23,0.05300914285714286
2023-10-30,0.057387714285714285
2023-11-06,0.069101
2023-11-13,0.06666342857142857
2023-11-20,0.09749728571428572
2023-11-27,0.15605757142857143
2023-12-04,0.15029885714285715
2023-12-11,0.13630899999999999
2023-12-18,0.14476114285714287
2023-12-25,0.149499
2024-01-01,0.145513
2024-01-08,0.16457128571428573
2024-01-15,0.16957114285714286
2024-01-22,0.14108585714285712
2024-01-29,0.12528199999999998
2024-02-05,0.12896442857142856
2024-02-12,0.168021
2024-02-19,0.18207185714285715
2024-02-26,0.21654142857142852
2024-03-04,0.29804285714285716
2024-03-11,0.3066625714285714
2024-03-18,0.2881544285714286
2024-03-25,0.26123871428571427
2024-04-01,0.30027328571428574
2024-04-08,0.2724652857142857
2024-04-15,0.221574
2024-04-22,0.2181262857142857
2024-04-29,0.214083
2024-05-06,0.27034585714285714
2024-05-13,0.27823514285714285
2024-05-20,0.3921715714285714
2024-05-27,0.4196581428571428
2024-06-03,0.42329128571428576
2024-06-10,0.3816757142857143
2024-06-17,0.3357335714285714
2024-06-24,0.34017342857142857
2024-07-01,0.32027200000000006
2024-07-08,0.3686172857142857
2024-07-15,0.4366481428571428
2024-07-22,0.38962657142857143
2024-07-29,0.35710514285714284
2024-08-05,0.33386371428571426
2024-08-12,0.37897357142857147
2024-08-19,0.36281671428571427
2024-08-26,0.3079361428571428
2024-09-02,0.28474485714285713
2024-09-09,0.28539528571428574
2024-09-16,0.25383000000000006
2024-09-23,0.2571877142857143
2024-09-30,0.24984628571428572
2024-10-07,0.2577827142857143
2024-10-14,0.26954414285714284
2024-10-21,0.3099757142857143
2024-10-28,0.327982
2024-11-04,0.36919685714285716
2024-11-11,0.37805442857142857
2024-11-18,0.37617671428571425
2024-11-25,0.40306485714285717
2024-12-02,0.7339159999999999
2024-12-09,0.7978157142857143
2024-12-16,0.623235
2024-12-23,0.5996208571428571
2024-12-30,0.5997628571428572
2025-01-06,0.4795541428571429
2025-01-13,0.4257969999999999
2025-01-20,0.40425685714285714
2025-01-27,0.3977458571428571
2025-02-03,0.332442
2025-02-10,0.3362817142857143
2025-02-17,0.31455842857142857
2025-02-24,0.2661005714285714
2025-03-03,0.24313699999999996
2025-03-10,0.23602714285714282
2025-03-17,0.28027242857142853
2025-03-24,0.2740642857142857
2025-03-31,0.21701185714285715
2025-04-07,0.1931477142857143
2025-04-14,0.19113571428571427
2025-04-21,0.21886142857142857
2025-04-28,0.21739142857142854
2025-05-05,0.233633
2025-05-12,0.24603914285714287
2025-05-19,0.23630842857142859
2025-05-26,0.208695
2025-06-02,0.18496728571428572
2025-06-09,0.17496557142857141
2025-06-16,0.15166557142857143
2025-06-23,0.14443142857142857
2025-06-30,0.13469357142857144
2025-07-07,0.15555985714285714
2025-07-14,0.17894514285714286
2025-07-21,0.1881885714285714
2025-07-28,0.16285471428571427